actor_id,gdp,year,created,last_updated,datasource_id
OC_ACTOR_10224,2488000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10243,2369000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10254,2172000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10233,2053000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10312,2005000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10274,1972000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10214,1692000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10255,1624000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10389,1623000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10305,1601000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10232,1242000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10257,1192000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10269,1115000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10323,927000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10322,881000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10324,830000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10239,599000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10316,501000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10250,428000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10283,271000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10300,226000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10268,207000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10296,134000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10318,64000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
