actor_id,area,lat,lng,admin_bound,created,last_updated,datasource_id
OC_ACTOR_176,0,39.255502,-6.190489,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_177,0,39.2012627,-0.3866467,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_178,0,39.5436955,-0.3461911,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_179,0,37.7919927,-3.4678764,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_180,0,40.478163,15.114332,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_181,0,40.587058,16.037129,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_182,0,41.7288894,12.6582689,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_183,0,45.686482,9.770656,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_184,0,42.6511674,-73.7549679,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_185,0,42.3046915,2.7193001,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_186,0,46.08,9.62,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_187,0,45.316997,11.276161,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_188,0,44.6,8.06,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_189,0,41.5733194,0.6059163,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_190,0,38.1794357,-0.8700719,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_191,0,44.0491414,8.2127631,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_192,0,40.6906888,-8.4792204,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_193,0,39.1164369,-0.5201837,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_194,0,41.8202772,-1.470956,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_195,0,40.786413,17.240936,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_196,0,41.432728,15.123042,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_197,0,55.6586018,12.3562849,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_198,0,41.7513409,0.6591801,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_199,0,41.8272224,-1.4926769,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_200,0,46.14,11.19,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_201,0,45.657076,9.256145,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_202,0,45.347492,11.867209,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_203,0,44.6201821,10.6019259,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_204,0,45.7608142,9.7968303,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_205,0,41.2454739,1.486748,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_206,0,45.805577,8.939235,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_207,0,44.339838,8.509353,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_208,0,37.0327593,-2.6209782,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_209,0,37.2306219,-3.6570778,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_210,0,45.2944385,8.706322,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_211,0,42.1043559,3.0852797,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_212,0,39.3929025,-0.774052,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_213,0,39.5009954,-0.3494799,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_214,0,46.1472316,9.8531698,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_215,0,37.3888807,-2.1463012,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_216,0,48.45,15.36,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_217,0,38.026663,-1.3866538,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_218,0,39.5449181,-0.3241613,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_219,0,36.7912927,-3.2016737,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_220,0,39.219206,-7.000024,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_221,0,41.8140364,-1.1940809,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_222,0,37.3397709,-5.8408395,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_223,0,36.4618805,-5.723889,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_224,0,41.7862357,-1.6969471,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_225,0,37.5180353,-5.9800362,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_226,0,36.905066,-5.1726099,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_227,0,37.461966,-3.9223898,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_228,0,38.7503504,-0.0399998,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_229,0,37.9766497,12.9626735,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_230,0,39.46,-8.67,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_231,0,37.969517,-1.219342,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_232,0,39.0694393,-0.5601547,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_233,0,38.021959,14.700874,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_234,0,41.5630062,0.5245393,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_235,0,39.3677124,-0.444674,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_236,0,37.5881403,-4.0812936,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_237,0,39.3899806,-3.2101375,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_238,0,48.47134,38.813441,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_239,0,38.7950003,-0.4021308,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_240,0,38.7488526,-8.973300657,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_241,0,38.6815439,-0.528873866,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_242,0,36.974836,-2.9613341,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_243,0,37.6145948,-5.668439,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_244,0,38.6755861,-0.3311341,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_245,0,41.6472222,0.6944444,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_246,0,39.245057,-5.737223,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_247,0,38.517011,-7.070012,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_248,0,37.3360254,-2.5971446,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_249,0,40.3467624,-3.8286315,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_250,0,41.2620504,1.1711248,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_251,0,39.7979196,-0.7025735,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_252,0,39.853267,3.124024,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_253,0,39.4647207,-0.4607809,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_254,0,41.0642215,-1.7005881,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_255,0,37.160375,-3.0715948,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_256,0,45.9767795,11.0908573,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_257,0,40.8800537,0.5000194,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_258,0,37.794985,-1.573546,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_259,0,41.4952867,2.2942758,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_260,0,39.0574,-9.006365,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_261,0,44.9129225,8.615321,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_262,0,37.566442,13.453353,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_263,0,39.8896785,18.3312082,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
