actor_id,population,year,created,last_updated,datasource_id
OC_ACTOR_211,740,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_212,1136,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_213,23572,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_214,3188,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_215,11271,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_216,1054,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_217,1423,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_218,3920,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_219,6270,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_220,5619,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_221,283,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_222,72100,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_223,5619,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_224,205,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_225,9317,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_226,5300,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_227,22129,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_228,1350,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_229,46238,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_230,13868,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_231,40774,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_232,1350,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_233,2473,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_234,9100,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_235,9615,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_236,11164,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_237,31992,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_238,110529,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_239,238,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_240,17569,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_241,59675,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_242,966,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_243,3331,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_244,191,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_245,3285,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_246,433,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_247,1876,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_248,647,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_249,167997,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_250,5131,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_251,690,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_252,22942,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_253,31246,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_254,51,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_255,696,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_256,3053,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_257,918,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_258,1053,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_259,9397,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_260,42000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_261,85438,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_262,3082,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_263,6552,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_264,42317,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_265,41604,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_266,72750,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_267,20033,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_268,5547,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_269,5508,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_270,20772,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_271,418,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_272,2215,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_273,1577,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
